"Date","Price","Open","High","Low","Vol.","Change %"
"03/13/2024","8.90","9.50","9.54","8.76","665.50K","-5.32%"
"03/12/2024","9.40","9.65","9.65","9.35","496.00K","-3.59%"
"03/11/2024","9.75","9.95","10.05","9.72","824.50K","-1.52%"
"03/08/2024","9.90","9.70","9.98","9.51","1.83M","4.10%"
"03/07/2024","9.51","9.85","9.86","9.50","3.41M","-1.96%"
"03/06/2024","9.70","9.50","9.95","9.50","2.53M","0.00%"
"03/05/2024","9.70","8.91","9.73","8.66","6.65M","11.24%"
"03/04/2024","8.72","8.75","8.94","8.61","1.42M","-2.02%"
"03/01/2024","8.90","8.74","8.90","8.65","620.50K","2.30%"
"02/29/2024","8.70","8.99","8.99","8.70","694.50K","-1.92%"
"02/28/2024","8.87","8.69","8.93","8.60","535.50K","0.91%"
"02/27/2024","8.79","8.80","8.90","8.52","344.00K","-0.57%"
"02/26/2024","8.84","8.81","9.10","8.60","1.44M","3.39%"
"02/23/2024","8.55","8.74","8.74","8.42","2.44M","-1.72%"
"02/22/2024","8.70","8.73","8.78","8.56","2.04M","0.93%"
"02/21/2024","8.62","8.39","8.70","8.39","537.00K","5.12%"
"02/20/2024","8.20","8.12","8.40","8.12","56.00K","0.00%"
"02/19/2024","8.20","8.03","8.25","8.02","154.50K","0.61%"
"02/16/2024","8.15","8.25","8.42","8.10","294.00K","-1.81%"
"02/15/2024","8.30","8.45","8.60","8.25","586.00K","-3.38%"
"02/14/2024","8.59","8.30","8.70","8.16","1.80M","5.53%"
"02/13/2024","8.14","8.10","8.24","7.60","961.50K","0.99%"
"02/12/2024","8.06","8.95","8.95","7.99","4.12M","-10.44%"
"02/09/2024","9.00","9.06","9.20","8.88","792.00K","-3.23%"
"02/07/2024","9.30","9.28","9.58","9.12","1.16M","2.20%"
"02/06/2024","9.10","9.00","9.35","9.00","192.00K","1.68%"
"02/02/2024","8.95","8.87","8.99","8.87","77.50K","-0.56%"
"02/01/2024","9.00","8.87","9.00","8.75","141.00K","-0.55%"
"01/31/2024","9.05","9.09","9.10","8.93","78.00K","1.69%"
"01/30/2024","8.90","9.19","9.20","8.75","297.50K","-3.78%"
"01/29/2024","9.25","9.10","9.25","8.92","463.50K","2.78%"
"01/26/2024","9.00","9.12","9.15","9.00","483.50K","-0.99%"
"01/25/2024","9.09","9.39","9.45","9.00","740.00K","-3.19%"
"01/24/2024","9.39","9.30","9.59","9.30","363.50K","0.97%"
"01/23/2024","9.30","9.20","9.60","9.02","549.50K","2.20%"
"01/22/2024","9.10","9.09","9.25","9.00","349.50K","0.00%"
"01/19/2024","9.10","9.29","9.29","9.00","219.50K","-1.62%"
"01/18/2024","9.25","9.20","9.25","8.99","289.00K","-0.75%"
"01/17/2024","9.32","9.50","9.50","9.25","229.50K","-0.85%"
"01/16/2024","9.40","9.60","9.65","9.20","1.03M","-3.09%"
"01/15/2024","9.70","9.98","9.98","9.63","129.50K","-1.82%"
"01/12/2024","9.88","9.99","10.08","9.78","254.00K","-1.20%"
"01/11/2024","10.00","10.02","10.10","9.90","359.50K","-0.70%"
"01/10/2024","10.07","9.80","10.18","9.80","1.77M","3.28%"
"01/09/2024","9.75","9.90","10.00","9.64","308.50K","0.21%"
"01/08/2024","9.73","9.98","9.98","9.62","287.00K","-0.71%"
"01/05/2024","9.80","10.14","10.48","9.79","981.00K","-2.00%"
"01/04/2024","10.00","9.95","10.13","9.85","731.50K","0.00%"
"01/03/2024","10.00","10.00","10.20","9.91","480.50K","0.00%"
"01/02/2024","10.00","10.45","10.50","9.90","927.00K","-4.76%"
"01/01/2024","10.50","10.15","10.58","10.15","1.02M","2.64%"
"12/29/2023","10.23","9.80","10.30","9.75","748.00K","3.86%"
"12/28/2023","9.85","9.80","10.20","9.65","823.50K","1.55%"
"12/27/2023","9.70","9.01","9.78","9.01","527.50K","5.32%"
"12/26/2023","9.21","9.90","10.01","9.20","1.22M","-7.81%"
"12/22/2023","9.99","10.35","10.35","9.90","372.50K","-2.06%"
"12/21/2023","10.20","10.10","10.30","9.70","2.05M","2.62%"
"12/20/2023","9.94","10.84","10.90","9.91","5.50M","-8.64%"
"12/19/2023","10.88","11.99","11.99","10.88","3.12M","-6.85%"
"12/18/2023","11.68","12.00","12.34","11.55","3.13M","-0.60%"
"12/15/2023","11.75","11.28","11.95","11.28","2.63M","3.80%"
"12/14/2023","11.32","11.64","11.67","11.04","2.72M","-1.48%"
"12/13/2023","11.49","12.00","12.25","11.10","2.95M","-4.33%"
"12/12/2023","12.01","12.00","12.10","11.77","2.41M","0.92%"
"12/11/2023","11.90","11.91","12.49","11.72","2.81M","-2.46%"
"12/08/2023","12.20","11.49","12.27","11.25","13.06M","8.93%"
"12/07/2023","11.20","10.60","11.48","10.51","10.43M","7.07%"
"12/06/2023","10.46","10.78","10.85","10.32","2.32M","-1.32%"
"12/05/2023","10.60","10.84","10.90","10.60","2.96M","0.38%"
"12/04/2023","10.56","10.47","10.74","10.25","3.94M","2.03%"
"12/01/2023","10.35","10.20","10.52","10.05","2.90M","2.48%"
"11/30/2023","10.10","10.37","10.55","10.02","3.64M","-1.75%"
"11/29/2023","10.28","9.84","10.77","9.65","13.92M","5.54%"
"11/28/2023","9.74","9.80","9.87","9.58","1.80M","1.25%"
"11/27/2023","9.62","9.74","9.89","9.50","2.92M","-1.13%"
"11/24/2023","9.73","9.90","10.07","9.65","2.84M","-0.71%"
"11/23/2023","9.80","9.66","10.20","9.66","4.23M","0.93%"
"11/22/2023","9.71","9.46","10.10","9.45","5.29M","2.75%"
"11/21/2023","9.45","9.55","9.74","9.45","3.08M","-0.42%"
"11/20/2023","9.49","9.52","9.70","9.40","1.39M","-0.63%"
"11/17/2023","9.55","9.94","9.95","9.50","1.60M","-2.05%"
"11/16/2023","9.75","9.49","10.20","9.48","4.83M","3.94%"
"11/15/2023","9.38","9.25","9.52","9.20","2.11M","1.41%"
"11/14/2023","9.25","9.25","9.37","9.10","547.50K","0.43%"
"11/13/2023","9.21","9.27","9.49","9.21","559.50K","-1.50%"
"11/10/2023","9.35","9.46","9.55","9.25","1.83M","0.32%"
"11/08/2023","9.32","9.20","9.54","9.18","3.47M","2.42%"
"11/07/2023","9.10","9.33","9.44","9.00","1.40M","-1.52%"
"11/06/2023","9.24","8.90","9.54","8.90","2.92M","3.70%"
"11/03/2023","8.91","8.97","9.00","8.72","1.07M","1.25%"
"11/02/2023","8.80","8.79","9.11","8.70","1.85M","0.57%"
"11/01/2023","8.75","8.75","8.85","8.66","614.00K","-1.57%"
"10/31/2023","8.89","8.65","8.98","8.61","614.50K","1.95%"
"10/30/2023","8.72","8.50","8.80","8.50","695.50K","4.43%"
"10/27/2023","8.35","8.57","8.57","8.35","275.00K","-1.18%"
"10/26/2023","8.45","8.65","8.85","8.45","980.00K","-2.76%"
"10/25/2023","8.69","8.50","9.15","8.42","3.03M","3.45%"
"10/24/2023","8.40","8.49","8.65","8.31","765.00K","0.12%"
"10/23/2023","8.39","8.68","8.68","8.30","449.50K","-0.12%"
